Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-04-12,1500.5899658203125,1509.0799560546875,1466.1500244140625,1467.1700439453125,1175900000,0.0,0.0,1430.341591796875,,,0,30.716479513845968,1496.6739868164063,21.30797975775161,-1,1393.811541748047,0.03,-0.022271188423368282,-0.0,-0.027410955804740622
2000-04-13,1467.1700439453125,1477.52001953125,1439.3399658203125,1440.510009765625,1032000000,0.0,0.0,1430.9693920898437,,,0,26.189817191879,1495.7759887695313,23.2891294801394,-1,1368.4845092773437,0.03,-0.018171059509909937,0.018171059509909937,-0.031863294249317886
2000-04-14,1440.510009765625,1440.510009765625,1339.4000244140625,1356.56005859375,1279700000,0.0,0.0,1429.6011938476563,,,0,18.186650622120766,1490.3804931640625,38.47355105022579,-1,1288.7320556640625,0.03,-0.05827793670488546,0.05827793670488546,-0.09476964968544843
2000-04-17,1356.56005859375,1401.530029296875,1346.5,1401.43994140625,1204700000,0.0,0.0,1429.1425927734374,,,0,31.78028911221574,1487.6209899902344,42.761946690404024,-1,1331.3679443359374,0.03,0.033083594440355135,-0.033083594440355135,-0.06941043402616509
2000-04-18,1401.43994140625,1441.6099853515625,1397.81005859375,1441.6099853515625,1109400000,0.0,0.0,1429.4899926757812,,,0,39.894872024609505,1485.007989501953,43.940452925135006,-1,1369.5294860839842,0.03,0.02866340737013995,-0.02866340737013995,-0.03553818804151432
2000-04-19,1441.6099853515625,1447.68994140625,1424.260009765625,1427.469970703125,1001400000,0.0,0.0,1429.2049926757813,,,0,40.68880788717522,1481.3494873046875,45.585706031040274,-1,1356.0964721679686,0.03,-0.00980848828193237,0.00980848828193237,-0.04027244371656369
2000-04-20,1427.469970703125,1435.489990234375,1422.0799560546875,1434.5400390625,896200000,0.0,0.0,1429.6615942382812,,,0,40.02555332259739,1476.7089904785157,45.379957667031725,-1,1362.813037109375,0.03,0.00495286661329386,-0.00495286661329386,-0.04449353795848221
2000-04-24,1434.5400390625,1434.5400390625,1407.1300048828125,1429.8599853515625,868700000,0.0,0.0,1429.9221948242186,,,0,38.044673348430265,1471.8289916992187,44.88016272399192,-1,1358.3669860839843,0.03,-0.0032624071712881175,0.0032624071712881175,-0.0570382771964989
2000-04-25,1429.8599853515625,1477.6700439453125,1429.8599853515625,1477.43994140625,1071100000,0.0,0.0,1431.72859375,,,0,47.56237927203186,1469.507989501953,43.217241045844666,0,1403.5679443359375,0.03,0.03327595466837896,-0.03327595466837896,-0.017959945916016684
2000-04-26,1477.43994140625,1482.93994140625,1456.97998046875,1460.989990234375,999600000,0.0,0.0,1433.1495947265626,,,0,46.37378148620844,1467.1709899902344,42.29549741644102,-1,1387.9404907226562,0.03,-0.011134091282396064,-0.0,-0.02638960441421434
